Record ID,Date-time 1,Date-time 2,Season,Station ID,Class,SpeciesID,Temperature,Number of individuals,Water use,Behavior
483,05/12/2019 15:55,NA,Dry,8,Aves,Dendrocincla homochroa,27,1,No,Foraging
484,06/12/2019 11:51,NA,Dry,8,Aves,Dendrocincla homochroa,29,1,Yes,Bathing/Drinking
485,07/12/2019 15:52,07/12/2019 16:19,Dry,8,Aves,Dendrocincla homochroa,31,1,Yes,Bathing
486,10/12/2019 11:39,10/12/2019 16:12,Dry,8,Aves,Dendrocincla homochroa,30,1,Yes,Bathing/Drinking
487,11/12/2019 15:39,11/12/2019 15:40,Dry,8,Aves,Dendrocincla homochroa,24,1,Yes,Bathing
488,12/12/2019 13:54,12/12/2019 16:13,Dry,8,Aves,Dendrocincla homochroa,26,1,Yes,Bathing
489,13/12/2019 16:08,13/12/2019 16:26,Dry,8,Aves,Dendrocincla homochroa,27,1,Yes,Bathing
490,14/12/2019 12:55,14/12/2019 16:16,Dry,8,Aves,Dendrocincla homochroa,29,1,Yes,Bathing
491,15/12/2019 14:32,NA,Dry,8,Aves,Dendrocincla homochroa,29,1,Yes,Bathing
492,07/12/2019 15:39,07/12/2019 15:41,Dry,8,Aves,Dumetella carolinensis,30,1,Yes,Drinking
493,14/12/2019 13:23,NA,Dry,8,Mammalia,Eira barbara,29,1,Yes,Drinking
494,08/12/2019 15:51,NA,Dry,8,Aves,Hylocichla mustelina,28,1,Yes,Drinking
495,08/12/2019 16:04,NA,Dry,8,Aves,Hylocichla mustelina,27,1,No,Foraging
496,11/12/2019 07:27,NA,Dry,8,Aves,Hylocichla mustelina,25,1,Yes,Drinking
497,14/12/2019 05:33,NA,Dry,8,Aves,Hylocichla mustelina,22,1,Yes,Drinking
498,14/12/2019 14:52,14/12/2019 14:53,Dry,8,Aves,Hylocichla mustelina,28,1,Yes,Drinking
499,07/12/2019 13:33,NA,Dry,8,Aves,Xiphorhynchus flavigaster,28,1,No,Passing
