masterid,year,northings,eastings,month1,year1,month2,year2,Deaths,Healthyfrogs,redspots.haemorrhaging,ulcers,limbbreakdown,Toads in pond,Newts in pond,Fish in pond,Other dead animals,No of other dead,Blobs of spawn,Sq feet of spawn,Urban(1)/Rural(0),Pond 1 length (m),Pond 1 width (m),Pond 1 depth (m),Pond 2 length (m),Pond 2 width (m),Pond 2 depth (m),Fishcare,slugpellets,Herbicide,Notes.1,Notes.2,Notes.3,Follow up report_Comments
2217,1996,51.3,-0.904,5,1996,6,1996,3,5,T,F,F,Yes,No,Yes,NA,NA,NA,NA,0,2,1,1.5,NA,NA,NA,No,No,No,, ,,
2218,1996,51.643,-0.494,8,1996,NA,1996,17,15,F,F,F,No,Yes,No,NA,NA,NA,4,0,2.1,1.5,0.75,NA,NA,NA,No,No,No,, ,,
2219,1996,50.818,-1.217,6,1996,10,1996,21,50,F,F,F,No,No,No,NA,NA,300,NA,0,1.5,0.6,0.6,NA,NA,NA,No,No,No,, ,,More than 20 deaths this year
2220,1996,52.467,-2.022,5,1996,NA,1996,3,5,F,F,F,No,No,No,NA,NA,3,NA,1,1,0.5,0.3,NA,NA,NA,No,Yes,No,Have 2 ponds - Approx. 150-200 tadpoles died in one leaving 6 alive - died over 3 days, ,,
2221,1996,50.901,-1.014,7,1996,NA,1996,5,15,F,F,F,No,Yes,Yes,NA,NA,NA,0.75,0,1.2,0.9,0.9,NA,NA,NA,Yes,No,No,, ,,
2222,1996,51.443,0.199,7,1996,8,1996,20,5,F,F,T,No,Yes,Yes,Newt,1,3,1,1,3,1.5,0.5,NA,NA,NA,No,Yes,No,, ,,
2223,1996,50.998,-1.37,5,1996,8,1996,NA,30,T,T,T,No,Yes,No,NA,NA,NA,NA,1,1.5,1,0.5,NA,NA,NA,No,No,No,Original pond from 1970's - new pond rebuilt from this, ,,
2224,1996,50.832,-1.215,7,1996,NA,1996,18,30,F,T,T,No,Yes,Yes,Slug,NA,12,NA,1,3.9,1.8,0.5,NA,NA,NA,Yes,No,No,, ,,
2225,1996,51.604,-0.404,7,1996,NA,1996,4,5,F,F,F,Yes,Yes,No,NA,NA,1,NA,1,1.5,0.9,0.45,NA,NA,NA,No,No,No,, ,,
2226,1996,52.444,-1.872,4,1996,NA,1996,2,50,F,T,F,Yes,Yes,No,NA,NA,NA,10,1,3,3,0.3,NA,NA,NA,No,No,Yes,, ,,
2227,1996,51.561,0.588,8,1996,NA,1996,3,5,F,F,F,No,Yes,Yes,NA,NA,2,NA,1,1.8,1.2,0.75,NA,NA,NA,No,Yes,No,, ,,
2228,1996,51.146,0.896,4,1996,8,1996,60,50,F,F,F,No,Yes,Yes,NA,NA,15,NA,1,2.5,2,0.9,NA,NA,NA,No,Yes,No,, ,,
2229,1996,50.757,-1.909,8,1996,9,1996,15,30,F,T,F,Yes,No,Yes,NA,NA,2,6,1,2.5,1.5,0.75,2.1,0.9,0.6,No,Yes,No,,"3-4 seem to have their front legs split skin, like muscle tissue coming from splits ",,
2230,1996,51.621,0.048,8,1996,NA,1996,30,5,F,F,F,No,Yes,Yes,Newt,4,NA,NA,1,2.4,1.2,0.75,NA,NA,NA,Yes,No,No,,"Bleeding from mouth Dead newts - 1 adult, 3 babies. Babies floating to top, stomachs blocked and red.",,
2231,1996,53.009,-1.256,7,1996,NA,1996,6,5,F,F,F,No,No,No,NA,NA,NA,NA,0,3,2.4,0.45,NA,NA,NA,No,No,No,, ,,
2232,1996,51.349,-0.215,7,1996,NA,1996,12,30,T,F,F,Yes,Yes,No,NA,NA,NA,2,1,3,2.7,0.75,NA,NA,NA,No,No,No,, ,,
2233,1996,50.91,-1.833,4,1996,NA,1996,3,5,T,F,F,No,No,Yes,NA,NA,NA,1.5,0,5,4,0.8,NA,NA,NA,No,Yes,No,, ,,
2234,1996,50.982,-1.383,8,1996,NA,1996,15,50,F,F,F,No,Yes,Yes,Hedgehog,1,12,NA,1,3.6,2.7,0.45,3.6,3,0.6,No,No,No,Fish in one pond only - spawn movement was from fish pond into 'frog pond', ,,
2235,1996,51.541,0.671,8,1996,NA,1996,45,50,F,F,F,Yes,Yes,Yes,NA,NA,NA,NA,1,3.6,1.5,0.9,NA,NA,NA,No,No,No,, Baby frog dying also,,
2236,1996,50.845,-1.044,7,1996,8,1996,18,15,T,F,F,No,No,No,NA,NA,4,NA,1,2,1.5,NA,NA,NA,NA,No,Yes,No,, ,,
2237,1996,50.829,-0.41,8,1996,NA,1996,5,5,F,F,T,No,No,Yes,NA,NA,NA,2,1,3,1.2,1.2,3,0.6,1.2,No,No,No,, ,,
2238,1996,51.453,-0.366,7,1996,NA,1996,10,15,F,T,F,Yes,Yes,Yes,NA,NA,NA,NA,1,3.5,1.5,0.5,NA,NA,NA,No,Yes,No,, ,,
2239,1996,51.85,1.258,4,1996,6,1996,15,5,T,F,F,No,No,No,NA,NA,NA,3,0,2,1.5,0.5,NA,NA,NA,No,No,No,Have a pair of mallards visiting, ,,
2240,1996,51.196,-1.779,NA,1996,NA,1996,1,30,F,F,F,Yes,Yes,Yes,NA,NA,10,10,0,5,4,1,NA,NA,NA,No,No,No,Most tadpoles got eaten. Have a 1000GPH pump with a 30W UV., ,,
2241,1996,51.542,0.676,9,1996,NA,1996,9,5,F,F,F,No,No,No,NA,NA,2,1,1,1.25,0.75,0.4,NA,NA,NA,No,No,No,,Protruding red anus ,,
2242,1996,51.377,-0.162,6,1996,NA,1996,20,30,T,T,F,No,Yes,Yes,NA,NA,20,3,1,3,1.5,1,NA,NA,NA,No,Yes,No,, ,,
2243,1996,51.578,0.63,8,1996,NA,1996,2,5,F,F,F,Yes,Yes,No,NA,NA,2,NA,1,0.9,0.6,0.45,NA,NA,NA,No,No,No,, ,,
2244,1996,51.385,-0.218,6,1996,10,1996,7,15,F,F,F,Yes,Yes,No,Newt,1,2,NA,1,3,1.5,1,NA,NA,NA,No,Yes,No,"Moved tadpoles into pond, not spawn. Apart from one dead newt on edge of pond, the newts generally seem healthy.", ,,
2245,1996,52.34,-1.079,5,1996,7,1996,80,30,F,F,F,No,Yes,Yes,Fish,3,2,NA,0,2.4,2.4,0.6,NA,NA,NA,Yes,No,No,3 large fish died during frog mortality. , Spawn moved in from elsewhere,,
2246,1996,50.843,-0.21,7,1996,8,1996,1,50,F,F,F,No,Yes,No,NA,NA,4,1,1,3.75,2.5,0.6,NA,NA,NA,No,No,No,"Almost 100 frogs died in 1995 (old pond). New pond has filter + UV unit. Pond plants bought from variety of places - list attached to questionnaire.  Letter, map of pond, list of garden centres used", ,,
2247,1996,51.77,-0.223,3,1996,5,1996,4,5,T,T,F,No,Yes,No,NA,NA,4,1,1,6,5,1.5,NA,NA,NA,No,No,No,, ,,
2248,1996,51.008,-1.269,7,1996,NA,1996,1,NA,F,F,F,No,No,No,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,No,No,Yes,No pond., ,,
2249,1996,51.348,-0.216,7,1996,NA,1996,25,30,F,F,F,Yes,Yes,Yes,NA,NA,12,NA,1,3,1.5,0.45,NA,NA,NA,No,No,Yes,Introduced snails april/may  - missing now!, ,,
2250,1996,51.512,-3.181,4,1996,9,1996,7,5,F,F,F,No,Yes,Yes,NA,NA,2,1,1,3,2,1.5,NA,NA,NA,No,Yes,Yes,, ,,
2251,1996,50.885,-1.029,6,1996,7,1996,6,15,T,T,F,No,Yes,Yes,NA,NA,10,NA,1,2,1,1.5,NA,NA,NA,No,No,No,"Only one found in pond, rest on lawn/patio", ,,
2252,1996,51.422,-0.143,8,1996,NA,1996,2,70,F,F,F,Yes,Yes,No,NA,NA,NA,1,1,1.2,0.9,0.9,NA,NA,NA,No,Yes,No,, ,,
2253,1996,51.566,0.58,4,1996,5,1996,3,50,F,F,F,Yes,Yes,Yes,NA,NA,24,NA,1,2.5,1.25,0.6,5,3,1.25,No,Yes,No,"During 1995 mortality, lost half their fish, mainly orfe, gudgeon and koi. Had just changed a third of water and topped up with tap water. Fish in only one pond. Many tadpoles eaten by magpies, also ate most of pond snails.", ,,
2254,1996,51.35,-0.494,7,1996,NA,1996,38,15,T,F,F,No,No,No,NA,NA,15,NA,1,3,1.5,0.6,NA,NA,NA,No,No,Yes,, ,,
2255,1996,51.552,0.629,7,1996,8,1996,8,15,F,F,F,Yes,No,Yes,NA,NA,5,2,1,2.5,1,1,NA,NA,NA,No,Yes,Yes,," Bought 6 new goldfish at beginning of July - 2 died within 10 days, frogs started dying 2 weeks after.",,
2256,1996,51.611,-0.025,7,1996,NA,1996,12,15,F,F,F,Yes,No,Yes,NA,NA,NA,NA,1,3,0.9,0.45,NA,NA,NA,No,No,Yes,,Bleeding by the mouth and throat ,,
2257,1996,51.351,0.256,6,1996,NA,1996,15,70,T,T,F,No,No,Yes,NA,NA,NA,30,0,3,2,0.63,NA,NA,NA,No,No,No,"Has 2 ponds. This year, spawned usual amount - for the first time ever had damselflies visit, laying eggs. Soon after started to get sick/dead frogs. Usually inundated with slugs - not seen any this year!", ,,
2258,1996,51.542,0.676,5,1996,7,1996,15,30,F,F,T,No,Yes,Yes,NA,NA,2,NA,1,1.5,1.5,0.25,4,2,1,Yes,Yes,No,Fish in pond 2 only - no spawn in this pond., ,,
2259,1996,51.572,0.546,7,1996,NA,1996,15,15,F,F,F,Yes,No,Yes,NA,NA,NA,NA,1,1.2,0.75,0.9,NA,NA,NA,No,No,Yes,"Moved tadpoles into pond, not spawn - these developed. Fish deaths due to pump stopping working", ,,
2260,1996,51.427,-0.373,5,1996,7,1996,11,5,F,F,F,Yes,No,Yes,NA,NA,3,1.5,1,3,1.5,0.75,NA,NA,NA,Yes,No,No,, ,,
2261,1996,53.456,-2.372,5,1996,12,1996,5,30,F,T,F,Yes,No,Yes,NA,NA,4,NA,1,1.8,0.9,0.45,NA,NA,NA,No,Yes,No,, ,,
2262,1996,52.768,-1.958,5,1996,10,1996,6,70,T,T,T,Yes,No,Yes,NA,NA,NA,36,1,3,3,0.5,NA,NA,NA,No,No,No,, ,,
2263,1996,51.345,0.517,7,1996,8,1996,40,15,F,F,F,No,Yes,Yes,NA,NA,NA,2,1,3.6,1.8,0.9,NA,NA,NA,No,No,No,, ,,
2264,1996,50.797,-0.988,5,1996,8,1996,101,15,T,T,F,No,Yes,Yes,NA,NA,NA,3,0,2,1,0.3,NA,NA,NA,No,No,No,, ,,More than 100 deaths this year
2265,1996,52.189,1.455,8,1996,NA,1996,1,5,F,F,T,Yes,Yes,No,NA,NA,NA,NA,0,8,5,1.2,NA,NA,NA,No,No,No,, ,,
2266,1996,51.692,-4.093,5,1996,6,1996,25,NA,F,F,F,No,No,Yes,NA,NA,6,NA,0,3,2,0.6,NA,NA,NA,No,No,No,, ,,
2267,1996,50.824,-1.068,8,1996,NA,1996,25,100,F,F,F,Yes,Yes,No,NA,NA,NA,10,1,1.8,1.2,0.9,NA,NA,NA,No,No,No,Only adult frogs affected. Next door's finch died., ,,
2268,1996,50.776,0.098,3,1996,5,1996,3,5,T,F,F,No,No,No,NA,NA,NA,18,1,2,1,0.5,NA,NA,NA,No,Yes,Yes,"Spawn moved out in 1995, not 1996", ,,
2269,1996,52.899,-1.497,4,1996,NA,1996,6,5,T,T,T,No,No,Yes,NA,NA,20,NA,1,1.5,1.5,0.75,NA,NA,NA,No,Yes,No,Too early to tell tadpole result, ,,
2270,1996,50.727,-1.972,8,1996,10,1996,19,30,F,T,F,Yes,No,Yes,NA,NA,10,2,1,3.4,1.8,0.69,NA,NA,NA,No,No,No,, ,,
2271,1996,53.035,-1.469,NA,1996,NA,1996,34,15,F,F,F,No,No,Yes,NA,NA,NA,NA,0,6,3,1.5,NA,NA,NA,No,Yes,Yes,Has not used slug pellets for 2 years, ,,
2272,1996,51.773,0.11,7,1996,NA,1996,10,5,F,F,F,No,No,Yes,NA,NA,6,NA,1,NA,NA,NA,NA,NA,NA,Yes,No,No,Has 2 ponds. Plants bought from Fish place, ,,
2273,1996,54.885,-2.874,7,1996,NA,1996,15,5,F,F,F,No,No,Yes,NA,NA,3,1,0,6,5,1,NA,NA,NA,No,No,Yes,"Since frog deaths, have lost 5 Sturgeon, 3 Goldfish. 2 comets", ,,
2274,1996,50.734,-1.971,6,1996,8,1996,35,15,T,F,T,Yes,Yes,No,Newt,2,3,1,1,3,2,0.75,NA,NA,NA,No,No,Yes,Only thing different this year is used commercial shredded bark on borders. Pond is usually clear and have had dragonflies in previous years, ,,
2275,1996,51.615,-0.011,8,1996,NA,1996,16,50,F,T,T,Yes,Yes,Yes,NA,NA,NA,2,1,5.4,1.8,0.9,NA,NA,NA,Yes,No,No,Have a slow-worm - feed it with slugs, ,,
2276,1996,51.655,-0.283,7,1996,8,1996,1,15,F,F,F,No,Yes,No,Toad,1,6,2,1,2.3,1.21,0.3,NA,NA,NA,No,Yes,No,," Toad brought from a neighbour with high frog mortality (found in road). Bloated, bleeding and eye problems.",,
2277,1996,53.837,-1.551,5,1996,7,1996,3,5,F,F,F,No,No,Yes,NA,NA,2,NA,1,2.7,1.2,0.6,NA,NA,NA,No,Yes,No,, ,,
2278,1996,51.421,-0.213,5,1996,6,1996,2,5,F,F,F,No,Yes,Yes,NA,NA,3,NA,1,1.2,1.2,0.9,NA,NA,NA,No,Yes,No,Slug pellets and algicide used in 1995, ,,
2279,1996,50.841,-0.279,6,1996,8,1996,20,30,F,F,F,No,No,Yes,NA,NA,10,NA,1,5,4,2,NA,NA,NA,No,No,Yes,, ,,
2280,1996,51.714,-1.949,NA,1996,5,1996,1,5,F,T,F,No,Yes,Yes,NA,NA,6,NA,1,3,3,0.3,NA,NA,NA,No,No,No,"Has 4 other ponds, included info of the pond that housed the dead frog", ,,
2281,1996,51.274,0.567,4,1996,NA,1996,2,15,T,F,F,No,No,No,NA,NA,NA,8,1,3,2,1,NA,NA,NA,No,No,No,, ,,
2282,1996,50.93,-1.391,7,1996,8,1996,5,5,F,F,F,Yes,No,Yes,NA,NA,3,1.5,1,2.5,1.75,0.75,NA,NA,NA,No,No,No,, ,,
2283,1996,51.6,-0.234,5,1996,NA,1996,1,5,F,F,F,No,Yes,Yes,NA,NA,2,1,1,2,1.5,1,NA,NA,NA,No,Yes,No,Other frogs seem active and healthy. Increase in newts and fish are breeding. Not sure on fate of tadpoles, ,,
2284,1996,51.571,0.58,6,1996,NA,1996,35,30,F,F,F,No,Yes,Yes,NA,NA,NA,2,0,3,1.8,0.9,NA,NA,NA,Yes,Yes,Yes,Local water authority increased chlorine levels in June, Baby frogs died too.,,
2285,1996,51.58,0.617,6,1996,7,1996,32,50,F,F,F,No,No,Yes,NA,NA,NA,1.5,1,3.5,3.5,1,NA,NA,NA,Yes,No,No,, ,,
2286,1996,51.584,-1.777,7,1996,NA,1996,NA,15,F,F,F,Yes,No,Yes,Fish,5,NA,NA,1,1.2,0.9,0.6,NA,NA,NA,No,Yes,Yes,, ,,
2287,1996,51.586,-3.024,8,1996,NA,1996,7,30,F,F,F,No,Yes,Yes,NA,NA,NA,3,1,1.8,1.2,0.9,NA,NA,NA,No,Yes,No,Spawn moved out was buried and given away, ,,
2288,1996,51.363,0.502,7,1996,8,1996,86,50,F,F,F,No,No,No,NA,NA,NA,NA,1,4,1,0.75,NA,NA,NA,No,No,No,, ,,
2289,1996,51.361,-2.956,3,1996,4,1996,12,30,F,F,F,Yes,Yes,Yes,NA,NA,NA,4,0,1.35,1.2,0.6,NA,NA,NA,No,No,No,Spawn became elongated and shrivelled up - never happened before, ,,
2290,1996,51.495,-0.194,7,1996,8,1996,2,NA,F,F,F,No,No,Yes,NA,NA,2,NA,1,2.1,0.6,0.6,NA,NA,NA,No,No,Yes,"New pond replaces a smaller pond built>10ya. Frog colony pretty well isolated - only acces to property is through basement 'tradesmans' entrance.  Letter, sketch, plans", ,,
2291,1996,51.256,-1.112,NA,1996,4,1996,15,5,F,F,F,No,No,No,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,No,No,No,No pond - half barrel size water feature, ,,
2292,1996,50.843,-1.041,8,1996,9,1996,28,5,F,F,F,No,No,No,NA,NA,6,NA,1,4,2,0.7,NA,NA,NA,No,No,No,, ,,
2293,1996,50.841,-0.279,5,1996,7,1996,50,5,T,F,F,No,Yes,Yes,NA,NA,4,NA,1,1.1,1,1,NA,NA,NA,No,No,No,, Dead frogs were of all sizes,,
2294,1996,50.899,-1.038,8,1996,NA,1996,12,30,F,F,F,Yes,Yes,Yes,NA,NA,NA,2,1,3,1.2,0.9,NA,NA,NA,No,No,No,More than 1 pond in garden, ,,
2295,1996,51.547,0.673,NA,1996,8,1996,1,5,F,T,F,Yes,Yes,Yes,NA,NA,3,NA,1,3,1.5,0.5,NA,NA,NA,No,No,Yes,, ,,
2296,1996,50.852,-0.394,4,1996,NA,1996,30,150,T,F,F,Yes,No,Yes,NA,NA,4,NA,1,1.8,1.2,0.9,NA,NA,NA,No,No,No,7 died in 1995. Did not see newts or toads this year. Spawn disintegrated., ,,
2297,1996,51.992,-0.216,7,1996,8,1996,8,5,F,F,F,Yes,Yes,No,NA,NA,NA,2,0,4,2,1.5,NA,NA,NA,No,No,No,"Got pond water tested - pH: 8.6, Nitrate: 20ppm, Ammonia: 0.2ppm, Nitrite: 0.2ppm, Phosphate: 0.5ppm, Copper: 0.15ppm", ,,
2298,1996,51.078,-1.791,6,1996,NA,1996,1,50,F,F,F,Yes,Yes,Yes,Snail,NA,20,NA,1,2.7,1.5,0.45,NA,NA,NA,No,No,No,Frogs have been dying strangely for 15 years now, ,,
2299,1996,50.919,-1.421,5,1996,7,1996,12,15,F,F,F,Yes,Yes,Yes,NA,NA,2,NA,1,2.5,1,0.76,NA,NA,NA,No,No,No,, ,,
2300,1996,51.116,-0.124,8,1996,NA,1996,2,5,F,F,F,No,No,Yes,NA,NA,NA,0.5,1,3,1.2,0.9,NA,NA,NA,Yes,No,Yes,Pond plants bought from gardens, ,,
2301,1996,51.002,-0.919,7,1996,8,1996,9,5,F,F,F,Yes,No,Yes,NA,NA,NA,8,1,3,2,0.5,NA,NA,NA,No,No,No,Frogs in greenhouse and polythene tunnel ore ok, Dead frogs of various sizes.,,
2302,1996,51.121,0,7,1996,NA,1996,8,5,T,T,T,No,Yes,No,NA,NA,4,NA,1,2,1.5,0.75,NA,NA,NA,No,Yes,No,, ,,
2303,1996,51.303,-0.31,6,1996,NA,1996,7,30,F,F,F,No,No,Yes,NA,NA,13,NA,1,3.6,2.4,1,NA,NA,NA,No,Yes,No,, ,,
2304,1996,52.506,-1.428,4,1996,NA,1996,15,15,F,F,F,No,Yes,No,NA,NA,NA,NA,1,2,1.3,0.4,NA,NA,NA,No,No,No,Usually has to remove some aerating pond plant 2-3 times per to stop pond choking with it - this spring the pond was clear of it (no trace at all!), ,,
2305,1996,50.844,-1.038,8,1996,NA,1996,10,5,F,F,F,Yes,No,No,NA,NA,NA,NA,1,0.45,NA,0.25,0.45,NA,NA,No,No,Yes,Pond made up of 2 plastic bowls with stones around, ,,
2306,1996,51.55,-0.453,6,1996,NA,1996,12,5,T,F,F,No,Yes,Yes,NA,NA,4,NA,1,2.5,2,0.65,NA,NA,NA,No,No,No,Fish all died in one weekend - frogs died in subsequent week. Thinks most tadpoles were eaten by the fish, ,,
2307,1996,51.971,1.362,4,1996,10,1996,NA,30,F,F,T,Yes,Yes,Yes,NA,NA,NA,4,1,3.5,2.5,0.5,NA,NA,NA,No,No,No,, ,,
2308,1996,51.21,-0.619,7,1996,NA,1996,1,15,F,F,F,Yes,Yes,No,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,No,Yes,Yes,, ,,
2309,1996,51.302,0.449,4,1996,NA,1996,1,15,F,F,F,No,No,Yes,NA,NA,NA,1.5,1,3,1.5,1,NA,NA,NA,No,Yes,No,At least 6 frogs died in 1995 - generally extremely emaciated. Have had more frogs spawning this year than ever, ,,
2310,1996,50.82,-1.212,7,1996,8,1996,NA,15,T,F,F,No,Yes,No,Newt,2,NA,2,0,3,2,1,NA,NA,NA,No,Yes,No,Male common newts dead., ,,
2311,1996,52.679,-1.181,6,1996,NA,1996,2,15,F,F,F,No,No,Yes,NA,NA,NA,2,1,2,1.8,0.8,NA,NA,NA,No,No,No,, ,,
2312,1996,52.789,-1.991,3,1996,4,1996,NA,15,F,F,F,No,No,No,NA,NA,NA,NA,0,1.5,0.25,0.6,NA,NA,NA,No,Yes,Yes,, ,,
2313,1996,51.538,0.137,6,1996,7,1996,35,30,F,F,F,No,No,Yes,NA,NA,1,NA,1,91?,16.5,5,NA,NA,NA,No,Yes,No,, ,,
2314,1996,50.737,-1.806,7,1996,8,1996,15,30,T,T,F,No,No,Yes,Slug,4,15,NA,1,4,2.5,2,2,1,0.6,Yes,Yes,Yes,Fish in both ponds., ,,
2315,1996,50.818,-1.217,3,1996,4,1996,8,5,T,F,F,No,No,Yes,NA,NA,4,NA,0,2,2,0.35,NA,NA,NA,Yes,Yes,Yes,, ,,
2316,1997,51.555,0.115,NA,1997,NA,1997,NA,NA,T,T,T,No,No,No,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,No,No,No,Have no pond but has always had a few frogs living in the garden., ,,
2317,1997,51.56,-0.196,NA,1996,NA,1996,1,15,T,F,F,Yes,Yes,Yes,Toad,1,4,NA,1,0.9,0.6,0.45,NA,NA,NA,No,No,Yes,"One pond with fish, + 5 more small ponds.",Abnormal front leg ,Toad mortality only,
2318,1997,50.821,-1.214,7,1997,9,1997,2,30,T,T,T,No,No,No,NA,NA,2,4,1,NA,NA,0.6,NA,NA,NA,No,Yes,No,All spawn died in '95+'96., ,,
2319,1997,50.8,-1.152,6,1997,9,1997,9,5,T,T,T,No,No,No,NA,NA,5,NA,1,1.5,1.2,1.5,NA,NA,NA,No,No,No,, ,,
2323,1997,51.543,0.731,6,1997,7,1997,NA,NA,T,T,T,Yes,No,No,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,No,Yes,No,Do not have a pond - have a large bird bath, ,,
2324,1997,51.228,-0.281,8,1997,9,1997,2,NA,F,F,F,Yes,No,No,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,No,No,No,Frogs found on allotment, ,,
2325,1997,52.825,-1.654,8,1997,9,1997,5,30,F,F,F,Yes,Yes,Yes,NA,NA,10,NA,1,3.6,1.8,0.75,NA,NA,NA,No,No,Yes,, ,,
2326,1997,50.821,-0.414,8,1997,NA,1997,17,5,T,F,F,No,No,Yes,NA,NA,5,NA,1,3,1.5,1.2,NA,NA,NA,No,Yes,Yes,, ,,
2327,1997,51.897,-0.458,4,1997,NA,1997,1,15,F,F,F,No,No,No,NA,NA,2,NA,1,3,1,0.75,NA,NA,NA,No,No,No,8 died in 1996. Tadpoles still developing., ,,
2328,1997,51.879,-2.157,2,1997,3,1997,18,5,F,F,F,Yes,No,Yes,NA,NA,1,0.25,0,2,2,0.5,NA,NA,NA,No,Yes,No,All spawn removed. Ditch about 2m from the pond. For last 3-4 years have experienced total disappearance of tadpoles over 1-3 nights. Neighbour experiences the same on same nights, ,,
2329,1997,51.814,-1.436,4,1997,5,1997,15,175,F,F,F,Yes,Yes,Yes,NA,NA,5,NA,0,18,4.8,1,NA,NA,NA,No,No,No,Pond is in small field., ,,
2330,1997,50.82,-0.416,6,1997,9,1997,15,5,T,F,F,No,No,No,NA,NA,3,2,1,0.9,0.6,0.9,NA,NA,NA,No,No,Yes,There has been a significant decrease of slugs in the garden since last year, ,,
2331,1997,51.27,-0.835,3,1997,4,1997,6,5,F,F,F,No,Yes,Yes,NA,NA,NA,0.5,1,6.75,5,5.5,NA,NA,NA,Yes,No,No,, ,,
2332,1997,50.857,-1.004,NA,1997,NA,1997,40,30,T,F,F,No,No,Yes,NA,NA,NA,NA,1,3,1.5,0.3,NA,NA,NA,No,No,No,Council regularly sprays the whole area with weed killer, ,,
2333,1997,50.859,-1.192,8,1997,10,1997,6,5,F,T,F,No,No,No,NA,NA,2,NA,1,2.4,0.9,0.75,NA,NA,NA,No,No,No,, ,,
2334,1997,50.407,-4.196,3,1997,4,1997,4,5,F,F,F,No,Yes,Yes,NA,NA,2,1,1,2,1.5,0.8,NA,NA,NA,No,No,No,"Usually have newts, not seen any this year. Pond cleared in early spring.", ,,
2335,1997,51.633,0.288,7,1997,8,1997,9,5,T,F,F,No,No,No,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,No,No,No,Have no pond, ,,
2336,1997,50.84,-0.277,4,1997,NA,1997,1,5,F,F,F,No,Yes,No,NA,NA,2,NA,1,NA,NA,NA,NA,NA,NA,No,Yes,No,, ,,
2337,1997,52.264,-1.452,1,1997,3,1997,23,15,F,F,F,No,Yes,Yes,NA,NA,9,NA,0,1.8,1.2,0.75,NA,NA,NA,No,Yes,No,Dead frogs found when thick ice on pond melted, ,,
2338,1997,52.976,-1.152,7,1997,NA,1997,1,30,F,T,F,No,Yes,No,NA,NA,NA,1.5,1,1.8,0.9,0.75,NA,NA,NA,No,No,No,, ,,
2339,1997,51.546,0.65,7,1997,8,1997,12,15,T,T,F,No,No,Yes,NA,NA,5,NA,1,3.6,1.8,0.6,NA,NA,NA,No,Yes,No,Toads and newts all ok., ,,
2340,1997,51.651,-0.486,7,1997,8,1997,20,5,F,F,F,No,Yes,Yes,NA,NA,NA,NA,1,1.5,0.9,0.75,NA,NA,NA,No,No,No,Have had frogs for last 14 years - only thing apart from new pond to be added to the garden was pond plants bought from local garden centre, ,,
2341,1997,52.443,-2.152,5,1997,6,1997,10,50,F,F,T,Yes,Yes,Yes,NA,NA,NA,2,1,2,2,1,NA,NA,NA,No,Yes,Yes,"Mot dead have been found outside pool, though have occasionally found dead bloated frogs in pool itself", ,,
2342,1997,53.257,-2.15,8,1997,10,1997,100,30,T,T,T,No,No,Yes,NA,NA,NA,3,1,3.6,3.6,1,NA,NA,NA,No,No,No,Have had a huge increase in garden snails this year. Close neighbours have found dead frogs but have no ponds, ,,
2343,1997,51.211,0.298,7,1997,9,1997,4,5,T,F,F,No,Yes,Yes,NA,NA,6,NA,1,NA,NA,0.9,NA,NA,NA,No,No,No,, ,,
2344,1997,50.74,-1.798,7,1997,8,1997,12,5,F,F,F,No,No,Yes,NA,NA,1,NA,1,3.6,1.2,0.9,NA,NA,NA,No,No,No,, ,,
2345,1997,51.611,0.507,8,1997,NA,1997,40,30,T,F,T,No,No,Yes,NA,NA,6,3,1,2.4,1.2,0.9,NA,NA,NA,Yes,Yes,No,, ,,
2346,1997,51.548,0.632,NA,1997,NA,1997,NA,30,T,T,F,Yes,Yes,Yes,NA,NA,NA,2,1,4.8,1.2,0.8,NA,NA,NA,No,Yes,No,Major death of biggest fish during freeze '97.  Fish otherwise healthy (one has curved spine), ,,
2347,1997,52.374,-1.515,3,1997,4,1997,3,15,T,F,F,No,Yes,Yes,NA,NA,5,7,1,2.5,2,1,NA,NA,NA,No,No,Yes,, ,,
2348,1997,50.819,-1.078,2,1997,3,1997,2,15,T,F,T,Yes,No,No,NA,NA,2,0.5,1,2,1,1,NA,NA,NA,No,Yes,No,, ,,
2349,1997,51.612,0.515,7,1997,9,1997,34,30,F,F,F,No,No,Yes,NA,NA,3,NA,1,NA,NA,NA,NA,NA,NA,No,No,No,, ,,
2350,1997,51.211,0.28,7,1997,8,1997,15,NA,F,F,F,No,No,No,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,No,No,No,Have no pond - found frogs in a stretch of stream approx 1 mile long on a woodland walk. Frogs of all sizes. All 'belly-up' on stream floor, ,Mortality not at this address,
2351,1997,51.541,0.733,5,1997,6,1997,50,50,F,T,T,Yes,Yes,Yes,NA,NA,20,NA,1,1.5,1.5,0.5,NA,NA,NA,No,No,No,, ,,
